Time	ROI-2-_sig_410	ROI-2-_sig_470	Input_DIO-1-bpod
0:00:00:12.0616526	3.410562197	8.522276025	0
0:00:00:12.0949867	3.406719603	8.516553656	0
0:00:00:12.1283209	3.412615606	8.514371908	0
0:00:00:12.1616551	3.40459825	8.506316806	0
0:00:00:12.1949893	3.410109239	8.52157394	0
0:00:00:12.2283234	3.401284108	8.51726329	0
0:00:00:12.2616576	3.407142364	8.507615285	0
0:00:00:12.2949918	3.407225406	8.518750502	0
0:00:00:12.3283260	3.402484446	8.510106554	0
0:00:00:12.3616602	3.39824174	8.506958496	0
0:00:00:12.3949943	3.399676107	8.504520072	0
0:00:00:12.4283285	3.399094811	8.507283116	0
0:00:00:12.4616627	3.402854362	8.501281423	0
0:00:00:12.4949969	3.398823036	8.504233199	0
0:00:00:12.5283311	3.401623826	8.516719741	0
0:00:00:12.5616653	3.397449063	8.485586429	0
0:00:00:12.5949994	3.398958923	8.506565933	0
0:00:00:12.6283336	3.401019882	8.50185517	0
0:00:00:12.6616678	3.402001291	8.504399284	0
0:00:00:12.6950019	3.400883995	8.505539228	0
0:00:00:12.7283361	3.398415374	8.501734381	0
0:00:00:12.7616703	3.397313176	8.50346317	0
0:00:00:12.7950045	3.399170304	8.481955216	0
0:00:00:12.8283387	3.4067498	8.498646717	0
0:00:00:12.8616728	3.404756785	8.497408632	0
0:00:00:12.8950070	3.408810759	8.510770892	0
0:00:00:12.9283412	3.408169069	8.50379534	0
0:00:00:12.9616754	3.408312506	8.500103732	0
0:00:00:12.9950095	3.396792274	8.486379105	0
0:00:00:13.0283437	3.40363194	8.492999841	0
0:00:00:13.0616779	3.400098868	8.492388348	0
0:00:00:13.0950121	3.405753293	8.487526599	0
0:00:00:13.1283462	3.400197008	8.4891346	0
0:00:00:13.1616804	3.402559939	8.489957473	0
0:00:00:13.1950146	3.397199936	8.481577751	0
0:00:00:13.2283488	3.393878245	8.471650422	0
0:00:00:13.2616830	3.40006867	8.484001076	0
0:00:00:13.2950171	3.40147284	8.473900113	0
0:00:00:13.3283513	3.398256838	8.477335044	0
0:00:00:13.3616855	3.397524556	8.484182259	0
0:00:00:13.3950197	3.396535598	8.476602762	0
0:00:00:13.4283538	3.398166247	8.488447613	0
0:00:00:13.4616880	3.396505401	8.481517356	0
0:00:00:13.4950222	3.394716217	8.467845575	0
0:00:00:13.5283564	3.39371216	8.470570872	0
0:00:00:13.5616905	3.387702918	8.468298533	0
0:00:00:13.5950247	3.39467847	8.470736956	0
0:00:00:13.6283589	3.390624496	8.46929504	0
0:00:00:13.6616931	3.392617512	8.465882757	0
0:00:00:13.6950273	3.399796896	8.482725244	0
0:00:00:13.7283614	3.396482753	8.474300226	0
0:00:00:13.7616956	3.390133792	8.480664286	0
0:00:00:13.7950298	3.390352722	8.480233975	0
