Time,ROI-1-_sig_410,ROI-1-_sig_470,ROI-2-_sig_410,ROI-2-_sig_470,Input_DIO-1-bpod,
0:00:00:08.8648359,1.1780203193492866,3.249625300802937,2.163063079258351,5.234631525054309,0,
0:00:00:08.8981701,1.1775982069755686,3.254295769970202,2.161802346218525,5.2244248719414665,0,
0:00:00:08.9315042,1.1827316381011055,3.25952451679303,2.1612135008466304,5.2241757450533575,0,
0:00:00:08.9648384,1.1747387360568349,3.262411220768133,2.1613267403412255,5.2271124226131915,0,
0:00:00:08.9981726,1.1777479887855975,3.25940196803937,2.15912234484644,5.218370333630445,0,
0:00:00:09.0315068,1.1728188055828277,3.2591296374756813,2.158835471460132,5.219087517096215,0,
0:00:00:09.0648410,1.1785649804766645,3.2302489811964685,2.1588505700594114,5.224538111436061,0,
0:00:00:09.0981751,1.1875382725502153,3.3314061690787287,2.166173390709898,5.224847632721288,0,
0:00:00:09.1315093,1.1844337041241615,3.344015074177527,2.1604661201823023,5.233265101819527,0,
0:00:00:09.1648435,1.1930801995212854,3.329690486527488,2.1620061773087964,5.240670964766051,0,
0:00:00:09.1981776,1.186952761838284,3.349420835866752,2.1592204857417556,5.237500258917387,0,
0:00:00:09.2315118,1.1836167124330945,3.3113081734784835,2.1619835294098775,5.2260102248657985,0,
